address,db_time,uptime_ms,bmp085_temp_decic,bmp085_press_pa,batt_mv,panel_mv,apogee_mv,apogee_w_m2,dallas_amb_c,dallas_roof_c,panel_ua,humidity_centi_pct
119,2013-09-19 17:56:52.569446-10,,,,,,,620,,,,
119,2013-09-19 17:56:51.569446-10,,,,,,,618,,,,
119,2013-09-19 17:56:50.569446-10,,,,,,,553,,,,
119,2013-09-19 17:56:49.569446-10,,,,4098,108,,540,,,,
119,2013-09-19 17:56:48.569446-10,,,,,,,621,,,,
119,2013-09-19 17:56:47.569446-10,,,,,,,66,,,,
119,2013-09-19 17:56:46.569446-10,,,,,,,103,,,,
119,2013-09-19 17:56:45.569446-10,,,,4100,104,,89,,,,
119,2013-09-19 17:56:44.569446-10,,,,,,,89,,,,
119,2013-09-19 17:56:43.569446-10,,,,,,,85,,,,
119,2013-09-19 17:56:42.569446-10,,,,,,,74,,,,
119,2013-09-19 17:56:41.569446-10,,,,4108,113,,87,,,,
119,2013-09-19 17:56:40.569446-10,,,,,,,94,,,,
119,2013-09-19 17:56:39.569446-10,,,,,,,73,,,,
119,2013-09-19 17:56:38.569446-10,,,,,,,75,,,,
119,2013-09-19 17:56:37.569446-10,,,,4106,100,,48,,,,
119,2013-09-19 17:56:36.569446-10,,,,,,,75,,,,
119,2013-09-19 17:56:35.569446-10,,,,,,,447,,,,
119,2013-09-19 17:56:34.569446-10,,,,,,,99,,,,
119,2013-09-19 17:56:33.569446-10,,,,4100,115,,95,,,,
119,2013-09-19 17:56:32.569446-10,,,,,,,102,,,,
119,2013-09-19 17:56:31.569446-10,,,,,,,95,,,,
119,2013-09-19 17:56:30.569446-10,,,,,,,24,,,,
115,2013-09-19 17:57:31.425447-10,118332,273,101043,4052,95,,6,,,,0
115,2013-09-19 17:57:30.425447-10,,,,,,,10,,,,
115,2013-09-19 17:57:29.425447-10,,,,,,,6,,,,
115,2013-09-19 17:57:28.425447-10,,,,,,,10,,,,
115,2013-09-19 17:57:27.425447-10,,,,4067,88,,6,,,,
115,2013-09-19 17:57:26.425447-10,,,,,,,4,,,,
115,2013-09-19 17:57:25.425447-10,,,,,,,4,,,,
115,2013-09-19 17:57:24.425447-10,,,,,,,6,,,,
115,2013-09-19 17:57:23.425447-10,,,,4034,82,,0,,,,
115,2013-09-19 17:57:22.425447-10,,,,,,,13,,,,
115,2013-09-19 17:57:21.425447-10,,,,,,,10,,,,
115,2013-09-19 17:57:20.425447-10,,,,,,,1,,,,
115,2013-09-19 17:57:19.425447-10,,,,4065,88,,2,,,,
115,2013-09-19 17:57:18.425447-10,,,,,,,6,,,,
115,2013-09-19 17:57:17.425447-10,,,,,,,8,,,,
115,2013-09-19 17:57:16.425447-10,,,,,,,4,,,,
115,2013-09-19 17:57:15.425447-10,,,,4062,96,,8,,,,
115,2013-09-19 17:57:14.425447-10,,,,,,,5,,,,
115,2013-09-19 17:57:13.425447-10,,,,,,,9,,,,
115,2013-09-19 17:57:12.425447-10,,,,,,,7,,,,
115,2013-09-19 17:57:11.425447-10,,,,4066,91,,13,,,,
115,2013-09-19 17:57:10.425447-10,,,,,,,9,,,,
115,2013-09-19 17:57:09.425447-10,,,,,,,3,,,,
115,2013-09-19 17:57:08.425447-10,,,,,,,8,,,,
115,2013-09-19 17:57:07.425447-10,,,,4058,95,,9,,,,
115,2013-09-19 17:57:06.425447-10,,,,,,,8,,,,
115,2013-09-19 17:57:05.425447-10,,,,,,,3,,,,
115,2013-09-19 17:57:04.425447-10,,,,,,,7,,,,
115,2013-09-19 17:57:03.425447-10,,,,4066,88,,9,,,,
115,2013-09-19 17:57:02.425447-10,,,,,,,10,,,,
115,2013-09-19 17:57:01.425447-10,,,,,,,12,,,,
115,2013-09-19 17:57:00.425447-10,,,,,,,9,,,,
115,2013-09-19 17:56:59.425447-10,,,,4059,101,,8,,,,
115,2013-09-19 17:56:58.425447-10,,,,,,,5,,,,
115,2013-09-19 17:56:57.425447-10,,,,,,,10,,,,
115,2013-09-19 17:56:56.425447-10,,,,,,,8,,,,
115,2013-09-19 17:56:55.425447-10,,,,4062,89,,8,,,,
115,2013-09-19 17:56:54.425447-10,,,,,,,5,,,,
115,2013-09-19 17:56:53.425447-10,,,,,,,8,,,,
115,2013-09-19 17:56:52.425447-10,,,,,,,10,,,,
115,2013-09-19 17:56:51.425447-10,,,,4063,100,,7,,,,
115,2013-09-19 17:56:50.425447-10,,,,,,,7,,,,
115,2013-09-19 17:56:49.425447-10,,,,,,,8,,,,
115,2013-09-19 17:56:48.425447-10,,,,,,,7,,,,
115,2013-09-19 17:56:47.425447-10,,,,4061,105,,7,,,,
115,2013-09-19 17:56:46.425447-10,,,,,,,7,,,,
115,2013-09-19 17:56:45.425447-10,,,,,,,11,,,,
115,2013-09-19 17:56:44.425447-10,,,,,,,7,,,,
115,2013-09-19 17:56:43.425447-10,,,,4044,87,,5,,,,
115,2013-09-19 17:56:42.425447-10,,,,,,,5,,,,
115,2013-09-19 17:56:41.425447-10,,,,,,,11,,,,
115,2013-09-19 17:56:40.425447-10,,,,,,,5,,,,
115,2013-09-19 17:56:39.425447-10,,,,4058,103,,6,,,,
115,2013-09-19 17:56:38.425447-10,,,,,,,6,,,,
115,2013-09-19 17:56:37.425447-10,,,,,,,11,,,,
115,2013-09-19 17:56:36.425447-10,,,,,,,10,,,,
115,2013-09-19 17:56:35.425447-10,,,,4065,94,,8,,,,
115,2013-09-19 17:56:34.425447-10,,,,,,,13,,,,
115,2013-09-19 17:56:33.425447-10,,,,,,,10,,,,
115,2013-09-19 17:56:32.425447-10,,,,,,,7,,,,
112,2013-09-19 17:57:59.65146-10,168121,324,100907,4165,7,,4991,,,,0
112,2013-09-19 17:57:58.65146-10,,,,,,,4992,,,,
112,2013-09-19 17:57:57.65146-10,,,,,,,4992,,,,
112,2013-09-19 17:57:56.65146-10,,,,,,,4992,,,,
112,2013-09-19 17:57:55.65146-10,,,,4146,0,,4992,,,,
112,2013-09-19 17:57:54.65146-10,,,,,,,4989,,,,
112,2013-09-19 17:57:53.65146-10,,,,,,,4991,,,,
112,2013-09-19 17:57:52.65146-10,,,,,,,4996,,,,
112,2013-09-19 17:57:51.65146-10,,,,4160,4,,4992,,,,
112,2013-09-19 17:57:50.65146-10,,,,,,,4993,,,,
112,2013-09-19 17:57:49.65146-10,,,,,,,4991,,,,
112,2013-09-19 17:57:48.65146-10,,,,,,,4997,,,,
112,2013-09-19 17:57:47.65146-10,,,,4148,5,,4995,,,,
112,2013-09-19 17:57:46.65146-10,,,,,,,4993,,,,
112,2013-09-19 17:57:45.65146-10,,,,,,,4992,,,,
112,2013-09-19 17:57:44.65146-10,,,,,,,4988,,,,
112,2013-09-19 17:57:43.65146-10,,,,4158,2,,4996,,,,
112,2013-09-19 17:57:42.65146-10,,,,,,,4991,,,,
112,2013-09-19 17:57:41.65146-10,,,,,,,4991,,,,
112,2013-09-19 17:57:40.65146-10,,,,,,,4992,,,,
115,2013-09-19 17:55:21.080338-10,98912,273,101037,4056,89,,9,,,,0
